name,enabled,site_name,search_term,location,is_remote,distance,hours_old,results_wanted,country_indeed,linkedin_fetch_description,google_search_term
"Customer Success Engineer (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Customer Success Engineer (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Denver, CO",,25,24,1500,USA,TRUE,
"Customer Success Engineer (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Customer Account Manager (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Boulder, CO",,25,24,1500,USA,TRUE,
"Customer Account Manager (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Customer Account Manager (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Loveland, CO",,25,24,1500,USA,TRUE,
"Customer Account Manager (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Customer Account Manager (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Denver, CO",,25,24,1500,USA,TRUE,
"Customer Account Manager (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Operations Specialist (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Boulder, CO",,25,24,1500,USA,TRUE,
"Operations Specialist (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Operations Specialist (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Loveland, CO",,25,24,1500,USA,TRUE,
"Operations Specialist (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Operations Specialist (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Denver, CO",,25,24,1500,USA,TRUE,
"Operations Specialist (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Managed Services (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Boulder, CO",,25,24,1500,USA,TRUE,
"Managed Services (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Managed Services (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Loveland, CO",,25,24,1500,USA,TRUE,
"Managed Services (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Managed Services (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Denver, CO",,25,24,1500,USA,TRUE,
"Managed Services (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Managed Services,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Analyst (Boulder, Local)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Boulder, CO",,25,24,1500,USA,TRUE,
"Analyst (Boulder, Remote)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Boulder, CO",TRUE,,24,1500,USA,TRUE,
"Analyst (Loveland, Local)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Loveland, CO",,25,24,1500,USA,TRUE,
"Analyst (Loveland, Remote)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Loveland, CO",TRUE,,24,1500,USA,TRUE,
"Analyst (Denver, Local)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Denver, CO",,25,24,1500,USA,TRUE,
"Analyst (Denver, Remote)",TRUE,"[""indeed"",""linkedin""]",Analyst,"Denver, CO",TRUE,,24,1500,USA,TRUE,
"Data Analyst (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Data Analyst,USA,TRUE,,24,1500,USA,TRUE,
"Solutions Consultant (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Consultant,USA,TRUE,,24,1500,USA,TRUE,
"Technical Consultant (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Consultant,USA,TRUE,,24,1500,USA,TRUE,
"Professional Services Consultant (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Consultant,USA,TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Consultant (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Consultant or Integration Consultant or Deployment Consultant,USA,TRUE,,24,1500,USA,TRUE,
"Business Analyst (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Business Analyst,USA,TRUE,,24,1500,USA,TRUE,
"Operations Consultant (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Consultant,USA,TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Specialist (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Specialist or Integration Specialist or Deployment Specialist,USA,TRUE,,24,1500,USA,TRUE,
"Operations Analyst (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Analyst,USA,TRUE,,24,1500,USA,TRUE,
"Partner Enablement and Onboarding (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Partner Enablement or Partner Onboarding,USA,TRUE,,24,1500,USA,TRUE,
"Technical Program Manager (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Program Manager,USA,TRUE,,24,1500,USA,TRUE,
"Technical Account Manager (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Technical Account Manager,USA,TRUE,,24,1500,USA,TRUE,
"Customer Success Manager (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Manager,USA,TRUE,,24,1500,USA,TRUE,
"Product Training Specialist (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Product Training Specialist,USA,TRUE,,24,1500,USA,TRUE,
"Customer Success Analyst (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Analyst,USA,TRUE,,24,1500,USA,TRUE,
"Customer Onboarding and Enablement (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Onboarding or Customer Enablement,USA,TRUE,,24,1500,USA,TRUE,
"Solutions Engineer (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Solutions Engineer,USA,TRUE,,24,1500,USA,TRUE,
"Professional Services Engineer (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Professional Services Engineer,USA,TRUE,,24,1500,USA,TRUE,
"Implementation, Integration, Deployment Engineer (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Implementation Engineer or Integration Engineer or Deployment Engineer,USA,TRUE,,24,1500,USA,TRUE,
"Customer Success Engineer (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Success Engineer,USA,TRUE,,24,1500,USA,TRUE,
"Customer Account Manager (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Customer Account Manager,USA,TRUE,,24,1500,USA,TRUE,
"Operations Specialist (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Operations Specialist,USA,TRUE,,24,1500,USA,TRUE,
"Managed Services (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Managed Services,USA,TRUE,,24,1500,USA,TRUE,
"Analyst (USA, Remote)",TRUE,"[""indeed"",""linkedin""]",Analyst,USA,TRUE,,24,1500,USA,TRUE,
